数据分析师,黄浦区,11:44发布,italki,10k-15k·13薪,10k-15k·13薪 经验1-3年 / 本科,
数据分析师,曹杨,10:52发布,联元智能科技,15k-30k,15k-30k 经验3-5年 / 本科,
数据分析师,陆家嘴,11:16发布,微创软件,15k-25k,15k-25k 经验1-3年 / 本科,
数据分析师,东方路,10:34发布,蜻蜓FM,15k-25k,15k-25k 经验3-5年 / 本科,
数据分析师,浦东新区,10:34发布,蜻蜓FM,12k-18k,12k-18k 经验1-3年 / 本科,
数据分析专家,七宝,10:57发布,触宝,30k-60k,30k-60k 经验5-10年 / 本科,
数据分析师,中山公园,09:44发布,VHS 好人生,10k-20k,10k-20k 经验1-3年 / 硕士,
数据分析师,中山公园,09:44发布,VHS 好人生,8k-15k,8k-15k 经验1年以下 / 硕士,
数据分析师,杨浦区,09:43发布,DataStory,15k-20k·13薪,15k-20k·13薪 经验1-3年 / 本科,
高级数据分析师,浦东新区,09:02发布,上海银科创展投资集团有限公司,30k-60k,30k-60k 经验5-10年 / 本科,
数据分析师,浦东新区,09:02发布,上海银科创展投资集团有限公司,10k-20k,10k-20k 经验1-3年 / 本科,
数据分析师,碧云社区,09:04发布,证通股份,15k-25k·17薪,15k-25k·17薪 经验3-5年 / 本科,
数据分析,长宁区,09:09发布,开心果,20k-30k·16薪,20k-30k·16薪 经验5-10年 / 本科,
数据分析师（商业）,静安区,17:00发布,高济医疗,20k-40k,20k-40k 经验3-5年 / 本科,
数据分析师,漕河泾,2020-07-30,Shopee,14k-20k,14k-20k 经验1-3年 / 本科,
数据分析实习生,田林,10:25发布,观远数据,4k-6k,4k-6k 经验应届毕业生 / 本科,
数据分析工程师,漕宝路,19:39发布,企鹅杏仁,10k-20k,10k-20k 经验1-3年 / 本科,
高级数据分析师（上海） (MJ000045),梅园,19:29发布,百融云创,15k-30k,15k-30k 经验不限 / 硕士,
高级数据分析师（上海）,浦东新区,19:29发布,百融云创,25k-35k·13薪,25k-35k·13薪 经验3-5年 / 硕士,
